,enrollee_id,relevent_experience,experience,last_new_job,target
4117,14332,No relevent experience,5,1,0
4118,31835,Has relevent experience,1,1,1
4119,26478,Has relevent experience,2,1,0
4120,4399,Has relevent experience,8,4,1
4121,3776,No relevent experience,20,5,0
4122,19914,No relevent experience,4,0,0
4123,31062,Has relevent experience,4,1,0
4124,18075,Has relevent experience,3,1,0
4126,23049,Has relevent experience,20,5,0
4127,5822,No relevent experience,20,1,0
4128,13384,Has relevent experience,16,5,0
4129,29788,Has relevent experience,20,1,0
4130,16569,No relevent experience,14,1,0
4131,25058,Has relevent experience,11,5,0
4132,14414,Has relevent experience,9,2,0
4133,32604,No relevent experience,10,1,0
4134,5337,Has relevent experience,5,2,0
4135,7040,Has relevent experience,5,5,0
4136,29145,Has relevent experience,6,4,0
4137,31503,Has relevent experience,15,1,0
4138,19161,Has relevent experience,5,0,0
4139,28323,No relevent experience,2,0,1
4140,30006,Has relevent experience,10,3,0
4141,17278,No relevent experience,6,1,0
4142,14424,No relevent experience,4,1,1
4143,24219,Has relevent experience,20,1,0
4144,15402,Has relevent experience,15,5,0
4145,12034,Has relevent experience,18,0,1
4146,19456,No relevent experience,5,2,1
4148,26321,No relevent experience,10,2,1
4149,29708,Has relevent experience,8,1,0
4150,11782,Has relevent experience,2,2,1
4151,16279,Has relevent experience,2,1,0
4152,5577,No relevent experience,0,1,0
4153,9200,Has relevent experience,7,1,0
4154,28717,Has relevent experience,11,2,0
4155,17618,Has relevent experience,20,1,1
4156,31106,No relevent experience,3,0,0
4157,8792,Has relevent experience,11,5,0
4158,17752,Has relevent experience,20,5,1
4159,4595,Has relevent experience,12,1,0
4160,29094,Has relevent experience,20,1,0
4161,6943,Has relevent experience,10,1,0
4162,5692,Has relevent experience,10,2,0
4163,18033,Has relevent experience,1,1,1
4164,6121,Has relevent experience,20,5,1
4165,20222,Has relevent experience,6,1,1
4167,7150,No relevent experience,4,0,0
4168,9326,No relevent experience,6,1,0
4169,25736,Has relevent experience,20,3,0
4170,19769,No relevent experience,15,0,0
4171,22515,No relevent experience,4,0,0
4172,24126,Has relevent experience,7,4,0
4173,14528,No relevent experience,2,0,0
4174,31788,Has relevent experience,12,3,1
4175,19859,No relevent experience,20,5,1
4176,6009,Has relevent experience,20,4,0
4177,3809,No relevent experience,3,0,0
4178,32214,Has relevent experience,20,5,0
4179,12367,Has relevent experience,20,1,0
4180,26040,No relevent experience,6,1,1
4181,4349,No relevent experience,3,0,0
4182,13670,Has relevent experience,15,2,0
4183,1117,No relevent experience,4,1,1
4184,25332,Has relevent experience,2,1,0
4185,15866,Has relevent experience,14,5,0
4186,7352,Has relevent experience,18,2,0
4187,7143,Has relevent experience,4,1,0
4188,23239,No relevent experience,2,0,0
4189,30075,Has relevent experience,5,1,1
4190,3650,Has relevent experience,11,1,0
4191,23397,Has relevent experience,9,1,0
4192,2218,Has relevent experience,7,2,0
4193,5321,No relevent experience,2,0,0
4194,16696,Has relevent experience,20,2,0
4195,21354,No relevent experience,20,2,0
4196,17770,Has relevent experience,15,1,0
4197,27356,No relevent experience,5,0,1
4198,23342,Has relevent experience,8,1,0
4199,447,Has relevent experience,2,1,1
4200,6042,Has relevent experience,20,5,0
4201,22862,Has relevent experience,14,5,1
4202,26242,Has relevent experience,11,2,0
4203,32481,No relevent experience,2,1,1
4204,28129,Has relevent experience,18,5,0
4205,6059,Has relevent experience,20,5,0
4206,28205,Has relevent experience,10,2,0
4207,9306,Has relevent experience,20,5,1
4208,3285,Has relevent experience,10,1,0
4209,7651,No relevent experience,6,1,0
4210,16191,Has relevent experience,12,5,1
4211,12614,No relevent experience,5,0,1
4212,1686,No relevent experience,2,0,1
4213,22551,Has relevent experience,7,5,0
4214,26356,No relevent experience,13,2,0
4215,17897,Has relevent experience,15,4,0
4216,9371,Has relevent experience,7,2,0
4217,12411,No relevent experience,13,1,0
4218,13190,Has relevent experience,15,3,0
4219,23372,Has relevent experience,4,1,0
4220,6811,No relevent experience,0,0,1
4221,25405,Has relevent experience,7,1,0
4222,23266,Has relevent experience,20,2,1
4223,22562,Has relevent experience,20,5,0
4224,2450,Has relevent experience,3,3,1
4225,20652,Has relevent experience,10,1,0
4226,8976,Has relevent experience,5,0,0
4227,23148,No relevent experience,3,2,1
4228,29014,Has relevent experience,20,1,0
4229,17229,Has relevent experience,1,1,1
4230,29657,No relevent experience,0,1,0
4231,31599,Has relevent experience,20,2,1
4232,636,Has relevent experience,9,1,0
4233,25477,Has relevent experience,6,1,0
4234,31933,No relevent experience,7,0,0
4235,2229,Has relevent experience,7,5,1
4236,10794,No relevent experience,3,5,1
4237,14387,No relevent experience,12,0,0
4238,12260,Has relevent experience,18,1,0
4239,32467,Has relevent experience,4,4,0
4240,31390,Has relevent experience,10,5,0
4241,32178,Has relevent experience,20,4,0
4242,16709,No relevent experience,3,1,1
4243,12457,Has relevent experience,7,5,1
4244,1014,Has relevent experience,7,4,0
4245,16190,No relevent experience,3,3,0
4246,12907,Has relevent experience,20,1,0
4247,24374,Has relevent experience,0,1,1
4248,13186,Has relevent experience,8,4,1
4249,4164,Has relevent experience,17,5,0
4250,30552,No relevent experience,5,1,1
4251,2603,Has relevent experience,3,1,0
4252,16846,No relevent experience,17,5,0
4253,1662,Has relevent experience,8,1,1
4254,6228,Has relevent experience,20,5,0
4255,26307,Has relevent experience,14,5,0
4256,27055,Has relevent experience,7,3,0
4257,28580,Has relevent experience,6,3,0
4258,12655,No relevent experience,3,3,0
4259,21385,Has relevent experience,7,1,0
4260,6345,Has relevent experience,15,0,0
4261,21893,Has relevent experience,20,1,0
4262,16341,No relevent experience,4,1,0
4263,30105,Has relevent experience,1,1,0
4264,30008,Has relevent experience,3,2,0
4265,4617,Has relevent experience,6,4,0
4266,17314,No relevent experience,0,0,1
4267,29756,Has relevent experience,10,2,1
4268,32879,No relevent experience,1,1,1
4269,24072,Has relevent experience,4,1,0
4270,23597,Has relevent experience,20,5,0
4271,15847,Has relevent experience,20,5,0
4272,20664,Has relevent experience,12,1,0
4273,23559,Has relevent experience,11,2,1
4274,5735,Has relevent experience,3,2,0
4275,4313,No relevent experience,1,1,1
4276,31729,Has relevent experience,9,1,0
4277,26776,No relevent experience,0,1,0
4278,23520,Has relevent experience,9,1,1
4279,31657,Has relevent experience,4,1,1
4280,9761,Has relevent experience,10,1,0
4281,9721,Has relevent experience,20,5,1
4282,30895,Has relevent experience,6,1,0
4283,6819,No relevent experience,1,0,0
4284,29372,Has relevent experience,8,1,0
4285,27132,No relevent experience,3,3,1
4287,1707,Has relevent experience,4,1,0
4288,25034,No relevent experience,2,1,0
4289,22541,No relevent experience,9,1,0
4290,27052,Has relevent experience,12,5,0
4291,24454,No relevent experience,3,0,0
4292,24014,Has relevent experience,6,1,1
4293,9555,Has relevent experience,20,4,0
4294,17816,Has relevent experience,5,2,0
4295,10916,Has relevent experience,11,1,0
4296,9458,Has relevent experience,13,3,0
4297,11987,Has relevent experience,9,4,0
4298,19959,Has relevent experience,14,3,0
4299,28284,Has relevent experience,11,1,0
4300,11464,Has relevent experience,1,1,1
4301,13459,Has relevent experience,4,1,0
4302,5926,Has relevent experience,20,5,0
4303,7975,Has relevent experience,4,1,0
4304,7882,Has relevent experience,6,1,1
4305,494,Has relevent experience,9,2,0
4306,12146,Has relevent experience,6,1,0
4307,5787,Has relevent experience,11,1,0
4308,14704,Has relevent experience,5,1,0
4309,3540,Has relevent experience,8,2,0
4310,27651,No relevent experience,14,1,0
4312,16218,No relevent experience,7,3,0
4313,16062,Has relevent experience,13,4,0
4314,15245,Has relevent experience,20,1,0
4315,13109,Has relevent experience,4,1,1
4316,16620,Has relevent experience,12,5,1
4317,5687,Has relevent experience,12,1,0
4318,27725,Has relevent experience,4,4,1
4319,7566,Has relevent experience,5,1,0
4320,10303,Has relevent experience,20,1,0
4321,15810,Has relevent experience,14,1,0
4322,30548,Has relevent experience,5,1,1
4323,21509,Has relevent experience,2,1,1
4324,5460,Has relevent experience,9,2,0
4325,19998,Has relevent experience,9,2,0
4326,28273,Has relevent experience,14,5,0
4327,30257,Has relevent experience,11,5,1
4328,31241,Has relevent experience,14,1,0
4329,20378,No relevent experience,7,1,1
4330,29402,No relevent experience,7,2,0
4332,22548,Has relevent experience,16,0,1
4333,98,No relevent experience,6,5,0
4334,6105,Has relevent experience,3,1,0
4335,23869,Has relevent experience,3,2,1
4338,25618,Has relevent experience,3,1,0
4340,32459,No relevent experience,6,0,0
4342,33223,Has relevent experience,1,1,1
4343,19824,Has relevent experience,10,5,0
4344,11893,Has relevent experience,8,4,0
4345,28778,No relevent experience,2,1,0
4346,4051,Has relevent experience,20,5,0
4347,16523,Has relevent experience,7,1,1
4348,1165,Has relevent experience,11,5,0
4349,10090,No relevent experience,4,1,0
4350,14711,Has relevent experience,11,0,0
4351,18366,Has relevent experience,6,0,0
4352,8293,Has relevent experience,9,1,0
4353,21164,No relevent experience,10,0,0
4354,6430,Has relevent experience,12,1,0
4355,32463,Has relevent experience,9,3,0
4356,30477,Has relevent experience,4,0,0
4357,2707,Has relevent experience,20,2,0
4358,9167,Has relevent experience,4,4,1
4359,25083,Has relevent experience,15,4,0
4360,503,Has relevent experience,14,4,0
4361,27607,Has relevent experience,8,1,0
4362,25915,Has relevent experience,14,1,0
4363,30308,Has relevent experience,6,1,0
4364,29607,Has relevent experience,10,1,0
4365,21938,No relevent experience,5,0,0
4366,15076,Has relevent experience,9,1,0
4367,25278,Has relevent experience,6,1,1
4368,3531,Has relevent experience,20,5,0
4369,13796,Has relevent experience,20,5,0
4370,28272,Has relevent experience,20,0,0
4371,26345,Has relevent experience,9,5,0
4372,5679,Has relevent experience,11,3,1
4373,4435,Has relevent experience,9,1,0
4374,19920,Has relevent experience,14,1,0
4375,28644,No relevent experience,18,2,0
4376,8481,Has relevent experience,6,2,0
4377,29166,Has relevent experience,14,1,0
4378,8040,Has relevent experience,15,5,0
4379,19085,Has relevent experience,10,1,0
4380,14948,Has relevent experience,20,5,0
4381,20158,Has relevent experience,7,1,0
4382,10068,Has relevent experience,8,1,0
4383,15093,Has relevent experience,9,1,0
4384,16381,Has relevent experience,3,1,0
4385,24435,Has relevent experience,10,1,0
4386,3824,Has relevent experience,20,5,0
4387,15858,Has relevent experience,12,4,0
4388,7249,Has relevent experience,20,3,0
4389,6596,No relevent experience,15,5,1
4390,27630,No relevent experience,9,3,1
4391,31058,Has relevent experience,15,2,0
4392,12408,No relevent experience,0,0,1
4393,32560,Has relevent experience,7,3,0
4394,12987,No relevent experience,20,1,1
4395,25022,Has relevent experience,17,1,0
4396,20547,No relevent experience,2,2,1
4397,27795,No relevent experience,6,0,0
4398,29088,Has relevent experience,20,5,0
4399,14212,No relevent experience,2,2,0
4400,5538,No relevent experience,10,2,1
4401,20713,No relevent experience,0,1,1
4402,23877,No relevent experience,6,0,0
4403,9693,Has relevent experience,20,1,0
4404,18146,Has relevent experience,6,3,0
4405,22883,Has relevent experience,20,0,0
4406,1461,Has relevent experience,18,1,0
4407,24448,Has relevent experience,19,5,0
4408,31735,Has relevent experience,6,1,0
4409,8080,No relevent experience,3,3,1
4410,26930,Has relevent experience,10,1,0
4411,11372,Has relevent experience,9,1,0
4412,13937,Has relevent experience,10,2,0
4413,24522,Has relevent experience,14,1,0
4414,6670,Has relevent experience,20,1,0
4416,3263,Has relevent experience,20,1,1
4417,10035,Has relevent experience,2,2,0
4418,7390,Has relevent experience,5,1,0
4419,26544,No relevent experience,14,1,1
4420,32322,No relevent experience,7,0,1
4421,21083,Has relevent experience,20,2,0
4422,13254,Has relevent experience,15,1,0
4423,29267,Has relevent experience,20,1,0
4424,8129,Has relevent experience,18,2,0
4425,18631,Has relevent experience,11,4,1
4426,23833,Has relevent experience,3,2,1
4427,30841,Has relevent experience,5,1,0
4428,6656,Has relevent experience,6,1,1
4429,14602,No relevent experience,0,1,1
4430,11891,Has relevent experience,12,2,0
4431,30379,Has relevent experience,5,2,0
4432,3136,No relevent experience,14,5,0
4433,13747,No relevent experience,20,5,0
4434,29271,Has relevent experience,5,5,1
4435,21325,Has relevent experience,19,4,1
4436,8357,Has relevent experience,8,2,0
4437,30948,No relevent experience,5,5,0
4438,22531,Has relevent experience,11,2,0
4439,5656,Has relevent experience,13,5,0
4440,21085,Has relevent experience,11,5,0
4441,20649,Has relevent experience,3,1,0
4442,19534,No relevent experience,6,3,0
4443,25393,Has relevent experience,11,5,0
4444,2878,Has relevent experience,10,0,1
4445,24347,Has relevent experience,6,1,1
4446,32192,Has relevent experience,16,5,0
4447,13058,No relevent experience,6,1,1
4448,10613,Has relevent experience,4,2,0
4449,20265,No relevent experience,0,1,1
4450,24897,Has relevent experience,12,1,0
4451,29152,Has relevent experience,4,3,0
4452,21321,No relevent experience,5,2,0
4453,21411,Has relevent experience,8,1,0
4454,32170,Has relevent experience,7,1,0
4455,24678,No relevent experience,1,0,0
4456,29895,Has relevent experience,15,2,0
4457,5827,Has relevent experience,2,1,0
4458,18608,Has relevent experience,5,1,1
4459,9048,No relevent experience,2,0,1
4460,2083,Has relevent experience,8,2,0
4461,3002,No relevent experience,3,1,0
4462,29856,Has relevent experience,13,1,0
4463,22061,Has relevent experience,4,2,0
4464,2916,Has relevent experience,16,2,0
4465,23069,Has relevent experience,1,1,1
4466,19057,Has relevent experience,11,1,0
4467,12885,Has relevent experience,5,2,1
4468,20052,No relevent experience,13,0,0
4469,10264,Has relevent experience,1,1,0
4470,32430,Has relevent experience,13,1,0
4471,348,Has relevent experience,10,4,0
4472,6130,No relevent experience,16,0,0
4473,8636,Has relevent experience,15,3,0
4474,3045,Has relevent experience,14,1,0
4475,32763,No relevent experience,2,1,0
4476,27509,Has relevent experience,20,5,0
4477,20330,No relevent experience,6,0,0
4478,15077,Has relevent experience,10,5,1
4479,25511,Has relevent experience,3,2,0
4480,6170,Has relevent experience,16,2,0
4481,18044,No relevent experience,0,0,0
4482,5733,Has relevent experience,6,2,1
4484,20129,Has relevent experience,3,1,1
4485,22416,Has relevent experience,20,5,1
4486,9724,Has relevent experience,20,1,0
4488,15764,Has relevent experience,14,5,0
4489,6003,Has relevent experience,11,2,0
4490,11934,Has relevent experience,10,4,1
4492,12658,Has relevent experience,6,5,0
4493,4181,No relevent experience,0,1,0
4494,30192,Has relevent experience,14,1,0
4495,25068,Has relevent experience,3,1,0
4496,22356,Has relevent experience,1,1,1
4497,19170,Has relevent experience,5,1,0
4498,18778,Has relevent experience,5,0,0
4499,14242,Has relevent experience,5,0,0
4500,21856,Has relevent experience,20,1,0
4501,8222,Has relevent experience,5,1,0
4502,17517,Has relevent experience,5,1,0
4503,6934,Has relevent experience,6,1,1
4504,24762,Has relevent experience,5,0,0
4505,20934,No relevent experience,6,0,1
4506,25066,Has relevent experience,16,2,0
4507,15567,No relevent experience,0,2,0
4508,9784,Has relevent experience,20,5,0
4509,26517,Has relevent experience,3,1,1
4510,21598,Has relevent experience,20,0,0
4511,4489,Has relevent experience,8,2,0
4512,2788,Has relevent experience,5,1,1
4513,18069,Has relevent experience,20,1,0
4514,17531,Has relevent experience,6,1,1
4515,22385,Has relevent experience,12,1,0
4516,13705,Has relevent experience,5,4,0
4517,32064,No relevent experience,10,1,0
4518,29865,Has relevent experience,15,5,0
4519,28622,Has relevent experience,7,1,0
4520,99,No relevent experience,20,5,1
4521,27549,Has relevent experience,15,3,0
4522,31170,Has relevent experience,11,1,0
4523,21626,Has relevent experience,5,1,1
4524,30861,Has relevent experience,4,1,0
4525,16019,Has relevent experience,13,4,1
4526,11840,Has relevent experience,3,1,0
4527,8902,No relevent experience,1,0,0
4528,5747,Has relevent experience,10,2,0
4529,16204,Has relevent experience,4,1,1
4530,5602,Has relevent experience,4,1,0
4531,18970,No relevent experience,7,1,0
4532,7938,No relevent experience,3,3,1
4533,24019,No relevent experience,20,5,1
4534,10001,No relevent experience,5,0,1
4535,1979,No relevent experience,9,0,1
4536,25994,Has relevent experience,18,5,0
4537,11017,Has relevent experience,4,1,0
4538,9284,No relevent experience,5,3,1
4539,1060,Has relevent experience,20,5,0
4540,6763,Has relevent experience,10,5,0
4541,1964,No relevent experience,3,0,0
4542,6293,Has relevent experience,4,1,0
4543,4710,No relevent experience,2,0,0
4544,31323,Has relevent experience,20,1,0
4545,2807,Has relevent experience,10,1,0
4547,19092,Has relevent experience,6,1,0
4548,26193,No relevent experience,7,1,1
4549,4639,Has relevent experience,15,2,0
4550,12853,Has relevent experience,15,5,0
4551,7247,Has relevent experience,11,1,0
4552,7,Has relevent experience,13,1,0
4553,15575,Has relevent experience,20,1,0
4554,11163,Has relevent experience,4,2,0
4555,2527,No relevent experience,4,1,1
4556,17797,Has relevent experience,6,1,0
4557,8892,No relevent experience,1,0,0
4558,5163,Has relevent experience,20,1,1
4559,28889,Has relevent experience,7,3,1
4560,1011,No relevent experience,4,0,1
4561,4923,Has relevent experience,10,1,1
4562,21447,Has relevent experience,1,1,1
4563,31357,Has relevent experience,12,5,0
4564,12118,No relevent experience,20,0,0
4565,33133,Has relevent experience,9,1,0
4566,6306,Has relevent experience,7,5,0
4567,15204,Has relevent experience,20,5,0
4569,16300,Has relevent experience,4,1,1
4570,15428,Has relevent experience,6,2,0
4571,7407,No relevent experience,5,1,1
4572,2204,Has relevent experience,11,1,0
4573,17455,Has relevent experience,10,5,0
4574,26090,Has relevent experience,16,1,0
4575,23124,Has relevent experience,2,2,0
4576,1413,No relevent experience,5,0,0
4577,30757,Has relevent experience,14,4,1
4578,4684,No relevent experience,2,0,0
4579,18772,Has relevent experience,20,5,0
4580,19902,Has relevent experience,2,1,1
4581,16301,Has relevent experience,13,2,0
4582,32428,Has relevent experience,20,1,1
4583,25853,Has relevent experience,7,1,0
4584,19592,Has relevent experience,6,3,1
4585,1187,Has relevent experience,15,5,0
4586,27645,Has relevent experience,20,5,1
4587,23530,No relevent experience,5,1,1
4588,7010,Has relevent experience,5,1,0
4589,24963,Has relevent experience,5,1,0
4590,14902,Has relevent experience,8,5,1
4591,28953,No relevent experience,2,1,1
4592,12719,Has relevent experience,4,1,0
4593,8383,Has relevent experience,20,1,0
4595,30954,No relevent experience,4,0,0
4596,14148,Has relevent experience,20,1,0
4597,6766,Has relevent experience,16,5,0
4598,16338,Has relevent experience,7,1,0
4599,13760,Has relevent experience,3,1,1
4600,19481,No relevent experience,11,1,0
4601,17544,No relevent experience,3,0,1
4602,19984,Has relevent experience,4,3,1
4603,21776,Has relevent experience,20,5,0
4604,19910,Has relevent experience,7,1,1
4606,9074,Has relevent experience,20,3,1
4607,28793,No relevent experience,8,2,0
4608,19113,No relevent experience,5,0,0
4609,21437,No relevent experience,20,5,1
4610,6543,Has relevent experience,20,5,0
4611,17507,No relevent experience,9,1,1
4612,11843,Has relevent experience,6,1,0
4613,22782,No relevent experience,7,1,0
4616,28553,No relevent experience,15,2,0
4617,17362,Has relevent experience,4,1,1
4618,2963,No relevent experience,0,0,0
4619,22543,Has relevent experience,10,1,0
4620,17201,Has relevent experience,6,0,1
4621,33228,Has relevent experience,10,5,0
4622,32050,Has relevent experience,6,1,0
4623,843,Has relevent experience,20,1,0
4624,31780,No relevent experience,14,1,0
4625,3457,Has relevent experience,20,5,0
4626,16636,Has relevent experience,15,1,0
4627,20131,Has relevent experience,2,1,0
4628,27346,Has relevent experience,20,2,0
4629,1282,No relevent experience,19,5,0
4630,33282,Has relevent experience,7,1,1
4631,17401,Has relevent experience,9,0,0
4632,5193,Has relevent experience,16,4,0
4633,11737,No relevent experience,20,4,0
4634,1545,Has relevent experience,7,4,0
4635,4554,No relevent experience,1,1,1
4636,12200,Has relevent experience,18,3,1
4637,7830,Has relevent experience,6,5,0
4639,24136,No relevent experience,2,0,0
4640,4014,Has relevent experience,4,4,0
4641,24999,No relevent experience,9,4,0
4642,18168,Has relevent experience,4,1,0
4643,28241,Has relevent experience,20,5,0
4644,1901,Has relevent experience,4,1,1
4645,9477,Has relevent experience,2,1,0
4646,5407,No relevent experience,3,1,0
4647,21171,Has relevent experience,20,2,1
4648,27048,Has relevent experience,20,1,0
4649,23517,No relevent experience,4,0,0
4650,13752,Has relevent experience,7,1,0
4651,6214,No relevent experience,0,0,0
4652,13636,Has relevent experience,18,1,0
4653,19206,Has relevent experience,16,1,0
4654,14747,No relevent experience,2,1,0
4655,24342,No relevent experience,15,1,0
4656,4772,Has relevent experience,15,3,0
4657,584,Has relevent experience,8,3,1
4658,21676,Has relevent experience,11,1,0
4659,18807,Has relevent experience,18,3,0
4660,10101,Has relevent experience,4,1,0
4661,14535,Has relevent experience,7,1,0
4662,29235,No relevent experience,20,5,0
4664,23621,No relevent experience,9,0,1
4665,15142,No relevent experience,11,2,1
4666,1505,Has relevent experience,12,3,0
4667,30988,Has relevent experience,20,1,0
4668,7870,Has relevent experience,11,2,0
4669,14020,Has relevent experience,10,1,0
4670,16443,Has relevent experience,3,1,0
4672,29542,Has relevent experience,11,5,1
4673,32715,Has relevent experience,20,1,0
4674,15647,No relevent experience,3,1,1
4675,13493,No relevent experience,4,0,1
4676,8957,Has relevent experience,11,0,1
4677,12938,Has relevent experience,1,1,1
4678,968,Has relevent experience,8,5,0
4679,33149,Has relevent experience,12,1,0
4680,19126,Has relevent experience,10,2,0
4681,16305,No relevent experience,3,0,0
4682,28162,Has relevent experience,2,1,0
4683,2310,Has relevent experience,5,0,0
4684,13935,Has relevent experience,20,5,1
4685,19379,Has relevent experience,20,5,0
4686,10157,Has relevent experience,20,5,0
4687,8143,No relevent experience,0,4,1
4688,28417,Has relevent experience,7,4,1
4689,12001,Has relevent experience,14,1,0
4690,3257,Has relevent experience,20,1,1
4691,28046,Has relevent experience,7,3,1
4692,1534,Has relevent experience,8,1,1
4693,31961,No relevent experience,20,1,1
4694,1337,No relevent experience,7,4,0
4695,9096,No relevent experience,20,5,1
4696,32904,Has relevent experience,9,4,0
4697,19115,Has relevent experience,9,2,0
4698,29998,Has relevent experience,3,1,0
4699,6120,Has relevent experience,16,2,0
4700,12727,Has relevent experience,8,1,0
4701,18066,Has relevent experience,8,1,0
4702,30193,Has relevent experience,5,2,0
4703,16159,Has relevent experience,15,2,0
4704,14930,No relevent experience,10,2,0
4705,4885,No relevent experience,19,5,0
4706,32111,No relevent experience,2,2,0
4707,9686,Has relevent experience,15,1,0
4709,32310,No relevent experience,4,0,0
4710,31607,Has relevent experience,15,2,0
4711,9128,No relevent experience,5,1,0
4712,19778,Has relevent experience,14,5,0
4713,10965,Has relevent experience,3,1,0
4714,15606,Has relevent experience,8,1,0
4715,22383,No relevent experience,8,1,0
4716,29988,Has relevent experience,3,2,0
4717,22370,Has relevent experience,4,1,1
4718,15347,Has relevent experience,6,0,0
4719,4700,No relevent experience,2,1,0
4720,1889,Has relevent experience,7,3,0
4721,1306,Has relevent experience,20,1,1
4722,13820,No relevent experience,9,0,0
4723,24028,Has relevent experience,2,1,0
4724,6879,Has relevent experience,0,1,1
4725,30955,No relevent experience,3,1,1
4727,29464,No relevent experience,12,0,1
4728,3025,Has relevent experience,18,5,0
4729,21846,Has relevent experience,5,1,1
4730,32594,Has relevent experience,11,2,0
4731,3158,Has relevent experience,11,4,0
4732,19402,Has relevent experience,5,1,1
4734,29441,Has relevent experience,6,4,1
4735,29017,Has relevent experience,4,1,0
4736,10519,Has relevent experience,3,2,0
4737,3310,Has relevent experience,12,5,1
4738,18662,Has relevent experience,6,1,1
4740,29348,Has relevent experience,20,2,0
4741,5452,Has relevent experience,16,5,0
4742,31397,Has relevent experience,20,5,0
4743,2560,Has relevent experience,8,1,0
4744,30985,No relevent experience,2,0,1
4745,6487,Has relevent experience,13,3,1
4746,21414,Has relevent experience,12,3,0
4747,32613,No relevent experience,2,0,0
4748,29001,Has relevent experience,19,1,0
4749,4864,Has relevent experience,20,2,1
4750,23772,Has relevent experience,11,4,0
4751,109,Has relevent experience,14,5,0
4752,26456,Has relevent experience,10,1,0
4755,15289,Has relevent experience,6,1,0
4756,33379,Has relevent experience,18,2,0
4757,3820,Has relevent experience,13,3,0
4758,21733,Has relevent experience,9,1,0
4759,13122,Has relevent experience,20,5,1
4760,25331,No relevent experience,0,1,1
4761,18762,Has relevent experience,6,3,1
4762,25727,No relevent experience,9,5,0
4763,787,Has relevent experience,16,1,0
4764,19608,Has relevent experience,10,5,0
4765,28049,No relevent experience,5,1,0
4766,1853,No relevent experience,2,0,1
4767,18055,Has relevent experience,2,1,0
4768,26898,Has relevent experience,11,2,0
4770,21001,Has relevent experience,7,1,0
4771,11556,Has relevent experience,12,1,0
4772,32851,Has relevent experience,20,1,1
4773,15283,No relevent experience,0,0,0
4774,8624,Has relevent experience,15,5,0
4775,16374,Has relevent experience,9,1,0
4776,29119,Has relevent experience,4,0,1
4777,26390,No relevent experience,2,1,0
4778,19707,No relevent experience,2,1,0
4779,5013,Has relevent experience,5,1,0
4780,769,Has relevent experience,20,1,0
4781,5951,Has relevent experience,10,1,1
4782,32086,No relevent experience,2,0,1
4783,17347,Has relevent experience,20,5,0
4784,21721,Has relevent experience,4,1,1
4785,11894,Has relevent experience,15,1,1
4786,2256,Has relevent experience,7,0,0
4787,27901,Has relevent experience,20,1,0
4788,14078,Has relevent experience,20,2,0
4789,7271,Has relevent experience,7,3,0
4790,10942,No relevent experience,0,1,1
4791,30300,Has relevent experience,10,5,0
4792,19845,Has relevent experience,6,1,0
4793,30040,No relevent experience,6,1,1
4794,28975,No relevent experience,12,1,0
4795,8974,No relevent experience,5,1,0
4796,10216,Has relevent experience,8,5,0
4797,4875,No relevent experience,2,0,0
4798,27927,No relevent experience,12,2,1
4799,20969,Has relevent experience,10,2,1
4800,20898,No relevent experience,3,0,0
4801,27649,Has relevent experience,20,3,0
4802,24200,No relevent experience,7,1,0
4803,24687,No relevent experience,20,3,0
4804,391,Has relevent experience,6,0,1
4805,24778,Has relevent experience,20,2,0
4806,26080,No relevent experience,0,1,1
4807,32837,Has relevent experience,11,1,0
4808,10140,No relevent experience,0,1,0
4809,22868,Has relevent experience,13,5,0
4810,16085,No relevent experience,0,5,0
4811,308,Has relevent experience,4,2,0
4812,27252,Has relevent experience,0,2,0
4813,33370,No relevent experience,6,1,0
4814,29782,No relevent experience,5,0,0
4815,13637,Has relevent experience,9,0,0
4816,6470,Has relevent experience,8,1,0
4818,19368,Has relevent experience,10,5,0
4819,29696,Has relevent experience,3,2,1
4820,22841,No relevent experience,14,5,1
4821,32307,No relevent experience,4,1,0
4822,5942,Has relevent experience,4,1,0
4823,20191,No relevent experience,0,1,0
4824,9363,Has relevent experience,13,1,0
4825,25744,No relevent experience,5,0,0
4826,14951,Has relevent experience,16,5,0
4827,14543,No relevent experience,6,2,0
4828,748,Has relevent experience,20,4,0
4829,13427,Has relevent experience,8,4,0
4830,32886,Has relevent experience,12,1,0
4831,15104,Has relevent experience,20,1,0
4832,20100,No relevent experience,4,1,0
4833,18858,Has relevent experience,13,2,0
4834,24464,Has relevent experience,20,1,0
4835,12082,Has relevent experience,13,4,0
4836,13783,Has relevent experience,18,2,0
4837,9492,No relevent experience,6,2,1
4838,14072,Has relevent experience,17,2,0
4839,13700,No relevent experience,5,1,0
4840,17036,Has relevent experience,5,5,1
4841,321,No relevent experience,8,0,0
4842,17681,Has relevent experience,7,1,0
4843,32023,No relevent experience,3,5,1
4844,19193,Has relevent experience,14,2,0
4845,15814,Has relevent experience,6,4,1
4846,26837,Has relevent experience,3,1,0
4847,28294,Has relevent experience,14,4,0
4848,13816,No relevent experience,2,1,0
4849,8406,Has relevent experience,0,1,0
4850,375,Has relevent experience,11,2,0
4852,2890,Has relevent experience,11,5,0
4853,16144,Has relevent experience,7,1,0
4854,26998,No relevent experience,2,2,0
4855,30034,Has relevent experience,20,5,0
4856,7043,No relevent experience,4,1,0
4857,2117,Has relevent experience,13,3,0
